"Date","Time","Open","High","Low","Close","Total Ticks"
11/20/2017,00:00:00,84.603,84.641,84.539,84.636,2434
11/20/2017,00:05:00,84.636,84.673,84.615,84.665,1499
11/20/2017,00:10:00,84.665,84.763,84.665,84.737,1464
11/20/2017,00:15:00,84.737,84.754,84.687,84.732,954
11/20/2017,00:20:00,84.732,84.778,84.732,84.755,1374
11/20/2017,00:25:00,84.755,84.763,84.718,84.739,901
11/20/2017,00:30:00,84.739,84.755,84.727,84.738,537
11/20/2017,00:35:00,84.738,84.741,84.687,84.702,695
11/20/2017,00:40:00,84.702,84.702,84.651,84.673,561
11/20/2017,00:45:00,84.673,84.721,84.658,84.703,676
11/20/2017,00:50:00,84.703,84.765,84.703,84.746,1228
11/20/2017,00:55:00,84.746,84.751,84.726,84.731,979
11/20/2017,01:00:00,84.731,84.826,84.729,84.794,1383
11/20/2017,01:05:00,84.794,84.81,84.744,84.749,928
11/20/2017,01:10:00,84.749,84.76,84.733,84.745,777
11/20/2017,01:15:00,84.745,84.747,84.708,84.724,567
11/20/2017,01:20:00,84.724,84.759,84.724,84.752,631
11/20/2017,01:25:00,84.752,84.765,84.742,84.745,684
11/20/2017,01:30:00,84.745,84.777,84.744,84.761,411
11/20/2017,01:35:00,84.761,84.764,84.722,84.73,632
11/20/2017,01:40:00,84.73,84.784,84.73,84.784,495
11/20/2017,01:45:00,84.784,84.784,84.75,84.763,679
11/20/2017,01:50:00,84.763,84.778,84.725,84.725,571
11/20/2017,01:55:00,84.725,84.725,84.645,84.667,1633
11/20/2017,02:00:00,84.667,84.674,84.638,84.661,955
11/20/2017,02:05:00,84.661,84.689,84.657,84.669,718
11/20/2017,02:10:00,84.669,84.684,84.649,84.649,638
11/20/2017,02:15:00,84.649,84.675,84.621,84.632,638
11/20/2017,02:20:00,84.632,84.634,84.586,84.591,947
11/20/2017,02:25:00,84.591,84.599,84.531,84.534,1089
11/20/2017,02:30:00,84.534,84.572,84.532,84.548,752
11/20/2017,02:35:00,84.548,84.594,84.547,84.589,387
11/20/2017,02:40:00,84.589,84.596,84.572,84.586,524
11/20/2017,02:45:00,84.586,84.652,84.585,84.636,614
11/20/2017,02:50:00,84.636,84.654,84.633,84.651,363
11/20/2017,02:55:00,84.651,84.657,84.638,84.645,355
11/20/2017,03:00:00,84.645,84.649,84.623,84.628,473
11/20/2017,03:05:00,84.628,84.642,84.618,84.624,490
11/20/2017,03:10:00,84.624,84.639,84.598,84.603,426
11/20/2017,03:15:00,84.603,84.622,84.589,84.611,295
11/20/2017,03:20:00,84.611,84.625,84.601,84.612,235
11/20/2017,03:25:00,84.612,84.622,84.6,84.608,345
11/20/2017,03:30:00,84.608,84.623,84.597,84.609,432
11/20/2017,03:35:00,84.609,84.622,84.603,84.611,343
11/20/2017,03:40:00,84.611,84.624,84.606,84.616,273
11/20/2017,03:45:00,84.616,84.621,84.607,84.618,262
11/20/2017,03:50:00,84.618,84.619,84.607,84.613,288
11/20/2017,03:55:00,84.613,84.615,84.604,84.611,161
11/20/2017,04:00:00,84.611,84.619,84.583,84.592,486
11/20/2017,04:05:00,84.592,84.613,84.584,84.603,263
11/20/2017,04:10:00,84.603,84.623,84.595,84.615,405
11/20/2017,04:15:00,84.615,84.631,84.607,84.63,210
11/20/2017,04:20:00,84.63,84.646,84.606,84.624,474
11/20/2017,04:25:00,84.624,84.663,84.615,84.652,543
11/20/2017,04:30:00,84.652,84.686,84.647,84.651,424
11/20/2017,04:35:00,84.651,84.679,84.636,84.65,623
11/20/2017,04:40:00,84.65,84.651,84.629,84.642,395
11/20/2017,04:45:00,84.642,84.642,84.622,84.622,349
11/20/2017,04:50:00,84.622,84.638,84.616,84.623,355
11/20/2017,04:55:00,84.623,84.647,84.623,84.647,388
11/20/2017,05:00:00,84.647,84.652,84.625,84.652,412
11/20/2017,05:05:00,84.652,84.69,84.652,84.685,527
11/20/2017,05:10:00,84.685,84.687,84.654,84.663,368
11/20/2017,05:15:00,84.663,84.675,84.649,84.651,240
11/20/2017,05:20:00,84.651,84.667,84.642,84.659,315
11/20/2017,05:25:00,84.659,84.691,84.657,84.665,572
11/20/2017,05:30:00,84.665,84.67,84.646,84.666,424
11/20/2017,05:35:00,84.666,84.699,84.664,84.699,483
11/20/2017,05:40:00,84.699,84.704,84.684,84.695,472
11/20/2017,05:45:00,84.695,84.712,84.691,84.704,486
11/20/2017,05:50:00,84.704,84.733,84.696,84.729,589
11/20/2017,05:55:00,84.729,84.769,84.726,84.746,699
11/20/2017,06:00:00,84.746,84.781,84.735,84.781,591
11/20/2017,06:05:00,84.781,84.796,84.77,84.778,442
11/20/2017,06:10:00,84.778,84.782,84.737,84.747,683
11/20/2017,06:15:00,84.747,84.756,84.718,84.735,690
11/20/2017,06:20:00,84.735,84.764,84.729,84.739,661
11/20/2017,06:25:00,84.739,84.74,84.705,84.715,798
11/20/2017,06:30:00,84.715,84.741,84.712,84.737,378
11/20/2017,06:35:00,84.737,84.744,84.73,84.736,170
